AL-X,AL-Y,AL-Z,AG-X,AG-Y,AG-Z,Gravity-X,Gravity-Y,Gravity-Z,RR-X,RR-Y,RR-Z,RV-X,RV-Y,RV-Z,User
0.1323902,-0.19326591,0.34240356,0.18674773,-9.65821,-0.81163436,0.3077285,-9.789528,-0.49074706,0.07086037,-0.015882496,0.015271631,-0.032754183,-0.71932083,0.6919813,1
0.30518714,-0.2014761,0.16034722,0.4381389,-9.964667,-0.23702596,0.3208118,-9.7925005,-0.4176292,0.028710667,0.15577064,0.006719518,-0.03808259,-0.71784735,0.693019,1
-0.15321769,-0.24159908,-0.027692318,0.5770026,-9.988609,-0.32800564,0.28399095,-9.795822,-0.36275312,0.03848451,0.20647246,0.010995574,-0.044028945,-0.71562093,0.6942449,1
-0.10203162,-0.22870064,-0.025107563,0.1340753,-10.019734,-0.47884035,0.24961525,-9.797963,-0.3286223,0.070249505,0.28588495,-0.08368854,-0.05076391,-0.713273,0.69482654,1
0.056842566,-0.23374176,-0.004171729,0.17238252,-10.036493,-0.37110126,0.28507587,-9.79863,-0.27560383,0.053145275,0.35613444,-0.111177474,-0.0650573,-0.7123499,0.6932696,1
0.15545723,-0.12054825,0.000271,0.30166942,-10.022128,-0.320823,0.38101688,-9.796724,-0.22232349,0.018936822,0.40866885,-0.08735373,-0.07566927,-0.7088624,0.6943646,1
-0.46960235,-0.19906807,-0.15356617,0.4405331,-9.919178,-0.2753332,0.34159204,-9.798024,-0.22898178,0.02443461,0.37201694,-0.06536258,-0.0823987,-0.7055813,0.6957821,1
-0.281737,-0.18340302,0.08772388,-0.088585466,-9.995792,-0.37588966,0.334967,-9.799605,-0.16105975,0.047647487,0.1966986,-0.06963864,-0.0920323,-0.70079315,0.69781643,1
-0.24638152,-0.291955,0.14908874,0.059855044,-9.981427,-0.1412579,0.3435402,-9.800209,-0.09089842,0.172264,0.36896262,-0.12889257,-0.09791661,-0.69760996,0.6983398,1
-0.13045624,-0.047142982,0.09568682,0.088585466,-10.09156,-0.011971008,0.33570758,-9.800899,0.008218378,0.23884831,0.23762658,-0.20952678,-0.09424396,-0.6944732,0.7011061,1
-0.19923808,-0.07997227,-0.29552257,0.21308395,-9.847352,0.004788403,0.39357248,-9.798472,0.073602416,0.38240165,0.15821409,-0.38240165,-0.073526114,-0.6862439,0.709696,1
-0.25470877,-0.2523861,-0.51174134,0.1364695,-9.880871,-0.2873042,0.49432755,-9.792654,0.17308804,0.40317106,-0.43554693,-0.49235737,-0.049484886,-0.6899374,0.70882016,1
-0.056188643,-0.22947407,-0.13956922,0.1388637,-10.0508585,-0.4381389,0.8797717,-9.756075,0.4641145,-0.6719518,-0.22235495,0.20341812,-0.05362868,-0.72540116,0.67938876,1
0.29578137,-0.27323627,-1.2206821,0.4381389,-10.022128,0.033518825,1.1827719,-9.725894,0.42242345,-0.8741482,-0.46609017,0.57543504,-0.08273147,-0.746476,0.6548059,1
-0.97447634,-0.25313854,0.6262369,0.3184288,-10.45069,-0.8882488,1.0508832,-9.750025,0.055158995,-0.5748242,0.8142834,0.6713409,-0.10462198,-0.7525317,0.6409328,1
1.2786752,0.79571056,1.0270202,0.20829555,-9.9790325,1.0486604,0.17620172,-9.724206,-1.256642,-0.64751714,0.61208695,0.56077427,-0.16237968,-0.7412232,0.63931024,1
0.8245746,0.42512703,1.1034131,2.3295584,-8.954314,1.0821792,-0.20021409,-9.654945,-1.7065555,-0.43066,1.0311406,0.6102544,-0.20264296,-0.73813456,0.6259002,1
1.2704222,-0.39112473,0.08568096,0.9959879,-9.595961,-0.08379706,-0.18039061,-9.698267,-1.4427351,-0.03359759,0.7684685,0.05131268,-0.23585162,-0.74556214,0.60196644,1
-0.6049076,0.23159313,0.5473036,0.6440403,-9.947908,-1.6472107,-0.3236777,-9.655397,-1.6849165,0.13683382,0.9804387,-0.025045475,-0.2663463,-0.7495375,0.58149207,1
-0.11446121,0.44011497,-0.90082145,-1.3359646,-9.715671,-0.79966336,-0.44333386,-9.547797,-2.1939538,-0.004276057,0.8875872,0.07452556,-0.27209795,-0.7579079,0.5650991,1
-0.016352862,-0.055345535,-0.2337668,-0.51235914,-9.239224,-2.4971523,-0.5290198,-9.439903,-2.6036038,0.037873644,0.16615535,-0.15332718,-0.26749572,-0.75544983,0.56677806,1
-1.0559418,-0.23746014,-0.43942642,-0.4213795,-9.706094,-2.5450363,-0.34829468,-9.357903,-2.9118245,0.06414085,0.63591075,-0.6377433,-0.26736122,-0.73913014,0.5715694,1
0.851077,-3.5205088,1.6883874,-0.38307226,-8.851364,-3.4356794,-0.14266045,-9.40027,-2.7901568,0.61269784,0.96883225,-0.37507126,-0.2632214,-0.71487886,0.58447653,1
0.3820806,-2.075138,2.5483425,0.3854665,-11.942278,-1.0390835,0.41840342,-9.521429,-2.3103561,0.8179486,0.4007276,-0.33414328,-0.24436465,-0.6914163,0.6078361,1
0.4578744,0.05475521,0.46682084,0.23942018,-11.475409,-0.24181437,0.8996996,-9.637332,-1.5756793,0.9419542,-0.0580322,-0.39950588,-0.21691094,-0.67706376,0.6266595,1
-0.34903324,0.76681423,1.0298014,0.8762778,-9.466674,-1.8435353,1.2170643,-9.702595,-0.7408061,0.3286455,0.020158553,-0.1337795,-0.21691094,-0.67706376,0.6266595,1
0.0398916,0.4370346,0.14943826,0.5506664,-8.870518,-0.545878,1.571607,-9.679306,-0.107200146,0.3286455,0.020158553,-0.1337795,-0.21691094,-0.67706376,0.6266595,1
-3.9753857,-1.609355,-1.0803239,1.2569559,-9.26556,-0.59136784,1.571607,-9.679306,-0.107200146,0.3286455,0.020158553,-0.1337795,-0.21691094,-0.67706376,0.6266595,1
-3.9753857,-1.609355,-1.0803239,-2.1571758,-11.300632,-1.0702082,1.571607,-9.679306,-0.107200146,0.3286455,0.020158553,-0.1337795,-0.21691094,-0.67706376,0.6266595,1
-3.9753857,-1.609355,-1.0803239,-2.1571758,-11.300632,-1.0702082,1.571607,-9.679306,-0.107200146,0.3286455,0.020158553,-0.1337795,-0.821158,-0.5288767,-0.18862912,1
-3.9753857,-1.609355,-1.0803239,-2.1571758,-11.300632,-1.0702082,1.571607,-9.679306,-0.107200146,-1.9315559,-1.0958922,1.4434745,-0.8074741,-0.55900955,-0.18130219,1
-3.9753857,-1.609355,-1.0803239,-2.1571758,-11.300632,-1.0702082,4.0962515,0.31354645,-8.9046545,-1.2742649,1.246776,1.5803084,-0.7331037,-0.6221775,-0.25379372,1
-0.2008853,-17.365051,11.188723,-2.1571758,-11.300632,-1.0702082,3.4329135,1.1766014,-9.1104965,0.007330383,0.9120218,0.07452556,-0.60464805,-0.7320136,-0.2512584,1
-4.661139,-8.931421,9.055429,3.8953662,-17.051504,2.2840683,4.9315505,1.5860491,-8.326745,0.8246681,1.5858061,-0.70005155,-0.4972623,-0.79508066,-0.24277043,1
-5.0488663,-5.854911,8.087325,-1.2282255,-7.7548194,-0.055066638,5.681993,1.3752638,-7.8736258,0.13072516,0.21746802,0.042760566,-0.4276203,-0.8381612,-0.21788229,1
-8.337163,-13.477954,2.4794893,-0.11731588,-4.268862,-0.23942018,6.239334,1.3644063,-7.441739,-0.12217305,-0.6010914,-0.27550024,-0.3587024,-0.8794929,-0.16967566,1
-8.008649,-12.799114,5.873537,-2.6551697,-12.10269,-5.3941364,6.0874386,1.4083614,-7.558442,0.8735373,-0.12705997,-0.09712757,-0.30620155,-0.9064889,-0.1161517,1
-6.9972353,-8.701099,11.425077,-1.769315,-11.434708,-1.5682021,5.72602,1.0783617,-7.8879814,1.0115929,-0.552833,-0.41172317,-0.24924956,-0.9323839,-0.06682037,1
-6.975793,-12.505886,6.384423,-0.16519992,-7.6470804,2.789245,5.478515,0.5219072,-8.116887,0.8527679,-0.7098254,-0.602924,-0.21508977,-0.94596076,0.020584086,1
-5.5910425,-9.921543,7.7338147,-1.6232687,-12.20564,-1.3192052,5.0161815,0.031134121,-8.426584,0.23335053,0.119729586,-0.28771752,-0.23845023,-0.94134253,-0.010329084,1
-6.862111,-9.797082,7.5622773,-0.05746084,-9.41879,-0.50757074,4.3858395,-1.3933501,-8.659872,-1.7654005,-0.1020145,1.1441506,-0.30788258,-0.93418354,-0.040652078,1
-6.3442965,-9.945589,8.884927,-2.006341,-9.540894,-0.6799533,4.4665008,-1.02652,-8.669893,-1.0916162,0.18448131,1.7208074,-0.36524522,-0.90310353,-0.08312403,1
-0.77703595,-11.100112,8.985928,-1.8124107,-11.736377,0.090979666,3.4640176,-0.31590122,-9.169033,-0.60903263,1.1038336,0.5717699,-0.35162926,-0.8959442,-0.10032641,1
-4.1367884,-10.826714,8.9583435,3.9959226,-12.94066,0.46926352,4.3147697,-0.03184534,-8.806373,0.806953,1.0451905,-1.0103711,-0.31103677,-0.892604,-0.10579295,1
-4.8606477,-7.323142,7.7601066,-1.0366893,-11.097125,-0.58418524,5.1226587,0.024052784,-8.3623085,-0.5870415,0.20647246,0.22418754,-0.30837926,-0.89433175,-0.104771,1
-5.646989,-5.774925,7.284918,-0.50278234,-7.189788,-0.7685388,6.050515,-0.031363983,-7.717555,-0.17959438,-0.7312057,-0.5308419,-0.27590764,-0.9149465,-0.088665396,1
-6.842996,-10.725783,1.234057,-0.81402856,-6.289568,-1.5346833,6.014343,-0.017564299,-7.7458234,1.3060299,0.023823744,-0.84604836,-0.24320444,-0.92783934,-0.03275228,1
-2.5475388,-11.515305,5.406688,-0.35913026,-9.672575,-5.693412,5.5200076,0.07120894,-8.105238,0.82772243,-0.453262,-0.47403142,-0.21024992,-0.94474053,0.012024646,1
-6.5136013,-9.29128,8.564924,2.7365725,-10.833763,-1.7381904,5.2676697,-0.74378043,-8.238258,0.9242391,-1.1661417,-0.31581733,-0.20680211,-0.93355876,0.19659655,1
-2.6675665,-7.7101455,8.84878,-0.9935937,-9.220071,0.45968673,4.6055455,-1.2587997,-8.5659075,0.28344148,-0.4428773,-0.59864795,-0.2171468,-0.93324417,0.18422475,1
-6.085162,-8.248575,7.5100646,2.6001031,-8.453926,0.61052144,3.1742883,-4.479527,-8.125772,-1.3762794,0.7684685,0.8912524,-0.28648156,-0.9364551,0.13001004,1
-8.142257,-5.631187,8.575882,-1.4796166,-9.507375,-1.055843,3.2240903,-4.3047915,-8.20027,-1.5204436,-1.3023647,1.4899004,-0.3603466,-0.9144833,0.072950445,1
-1.8067229,-5.8442297,10.422089,-4.9679685,-10.110714,0.45010993,2.119493,-3.2597666,-9.002893,-0.788627,1.8161024,0.7684685,-0.3648317,-0.90040463,0.043085523,1
-2.629458,-8.759126,8.5049,1.4173675,-10.149021,2.2218192,2.5149698,-2.502613,-9.142336,0.8142834,1.2296717,-0.5925393,-0.3318227,-0.89020586,0.04822253,1
-2.742419,-4.6368966,8.012273,-0.50996494,-12.018892,-0.49799395,3.8073688,-2.4284995,-8.704985,-0.42760566,1.2229522,0.32253686,-0.34584436,-0.88321614,0.03963895,1
-4.262267,-2.1156952,7.962782,-0.22744916,-7.1395097,-1.1300632,5.070538,-2.8489766,-7.89578,0.08552113,-0.13988814,-0.19364429,-0.32318676,-0.8978068,0.0468617,1
-7.038572,-10.946413,1.9773135,-0.3184288,-4.405331,-0.62967503,5.174713,-2.8182247,-7.839026,1.1997393,-0.5821546,-0.50823987,-0.29902843,-0.900844,0.10417086,1
-0.7119212,-11.068145,8.104782,-2.4109612,-14.760254,-6.0142345,4.9497976,-2.6172383,-8.051087,0.9816604,-0.9120218,-0.1600467,-0.25947058,-0.9145383,0.15514585,1
-6.5539126,-5.487135,11.896175,4.462792,-13.88637,0.2657564,4.6989503,-3.5100393,-7.859383,1.0409144,-0.8503244,-0.50701815,-0.22539988,-0.9157119,0.23097718,1
-2.036598,-3.818612,6.966346,-1.7286136,-8.324639,3.4955344,4.0779905,-4.087284,-7.926821,0.66706485,-0.79901177,-0.4269948,-0.21214077,-0.91145474,0.28383225,1
-4.61908,-4.7449265,7.7711983,2.882619,-7.089231,-0.82599956,3.5691965,-4.5997176,-7.8913746,-0.5717699,-0.52412236,0.39278635,-0.2658482,-0.9212231,0.23781057,1
-5.3624535,-4.9052634,7.374227,-0.39983168,-8.6334915,-0.1388637,2.5554612,-5.9436173,-7.3697653,-1.4770721,-2.3726006,1.4001031,-0.32605615,-0.92363554,0.19263853,1
-6.0366306,-6.233292,6.622774,-2.2266076,-9.56723,-0.7565677,1.5660652,-5.106589,-8.224392,-1.1588113,0.5748242,1.2913691,-0.36092138,-0.9191149,0.14415382,1
3.0140424,-12.150818,8.159748,-3.4572272,-11.71004,0.045489833,-0.16400763,-3.8667426,-9.01065,-0.021380283,0.6743952,-0.3304781,-0.34560803,-0.92203045,0.14432696,1
0.5901755,-4.924766,8.807142,4.132392,-16.843208,-0.5746084,0.1455263,-3.056501,-9.317031,0.65301496,1.073901,-0.52290064,-0.34560803,-0.92203045,0.14432696,1
-1.3019257,-1.1716595,8.708903,-0.24899697,-8.394072,-0.6895301,0.7921285,-3.2736418,-9.210113,0.65301496,1.073901,-0.52290064,-0.34560803,-0.92203045,0.14432696,1
-3.9644458,-5.0390263,6.126381,-1.1492168,-4.1635165,-0.82121116,0.7921285,-3.2736418,-9.210113,0.65301496,1.073901,-0.52290064,-0.34560803,-0.92203045,0.14432696,1
-3.9644458,-5.0390263,6.126381,-3.1723173,-8.312668,-3.083732,0.7921285,-3.2736418,-9.210113,0.65301496,1.073901,-0.52290064,-0.34560803,-0.92203045,0.14432696,1
-3.9644458,-5.0390263,6.126381,-3.1723173,-8.312668,-3.083732,0.7921285,-3.2736418,-9.210113,0.65301496,1.073901,-0.52290064,0.07001638,-0.68827206,0.5702809,1
-3.9644458,-5.0390263,6.126381,-3.1723173,-8.312668,-3.083732,0.7921285,-3.2736418,-9.210113,-1.3164146,0.87964594,1.1722504,-0.019304812,-0.75445724,0.51937425,1
-3.9644458,-5.0390263,6.126381,-3.1723173,-8.312668,-3.083732,6.761952,-7.090174,0.4193179,-1.8020525,-1.649947,1.5234979,-0.1276411,-0.7743973,0.4854211,1
-7.4778185,-4.3445334,1.9054518,-3.1723173,-8.312668,-3.083732,5.734727,-7.837157,-1.3646617,-0.72082096,1.6737708,0.7611381,-0.17580585,-0.7422452,0.46882474,1
-6.438622,-4.686912,0.703862,0.82121116,-11.563994,2.4420857,4.6354456,-8.337158,-2.2748184,0.7623598,1.378112,-0.52656585,-0.19418524,-0.69039524,0.4664902,1
-4.7886744,2.801764,0.98434365,-0.7038953,-12.524069,-0.6607997,4.867291,-8.360841,-1.6050668,-0.43799037,1.0384709,0.6084218,-0.21182959,-0.6892467,0.46003583,1
-6.3684554,3.8310113,0.5013398,-0.15322891,-5.535394,-1.2904748,5.2337203,-8.288504,-0.28151977,-0.47158796,-0.26450464,-0.15943582,-0.176683,-0.69675356,0.46332663,1
-6.5984154,-2.988186,-5.629764,-1.5011644,-4.5298295,-1.103727,5.0926714,-8.371514,-0.39094812,1.4062119,-0.26939157,-0.84604836,-0.1167156,-0.69286144,0.5011662,1
-4.211605,-5.349655,-1.5770857,-1.364695,-11.27669,-5.911284,5.4774637,-8.127774,-0.32719725,1.0372492,-1.1044444,-0.63529986,-0.04812953,-0.6904251,0.51902276,1
-6.655411,-2.3013687,-0.1612199,0.8810662,-13.721169,-1.9680338,5.7170587,-7.966823,0.123965986,1.0164797,-0.69027776,-0.6914995,-0.016449258,-0.68462735,0.53654,1
-4.177587,0.9111109,-0.23888767,-1.1779473,-10.429143,-0.48841715,6.3026075,-7.5018635,0.41181555,0.27916542,0.052534413,-0.38789943,-0.044764247,-0.6988158,0.5185789,1
-8.0144615,-1.1890888,-2.837142,1.5394717,-7.055712,-0.11492168,6.4480386,-7.363636,0.6083026,-1.9394971,0.54000485,1.0207558,-0.12003737,-0.7516882,0.50079364,1
-9.684999,-4.171628,-1.1853051,-1.7118542,-8.690952,-2.4253263,6.269466,-7.538457,0.18931904,-1.4624114,-0.27183503,1.8625281,-0.21322714,-0.74794024,0.47297168,1
-4.7347827,-5.1077166,1.6350627,-3.2369606,-11.535264,-0.5770026,4.895435,-8.353277,-1.5581607,-0.72204274,1.4905112,0.2706133,-0.22467768,-0.7210277,0.45746708,1
-6.1835155,-2.9712973,1.5150651,1.5346833,-12.6461735,1.8243817,4.099382,-8.671159,-2.0436459,0.7831292,1.2137892,-0.79045963,-0.2336494,-0.6927558,0.44979486,1
-3.9854436,3.2301612,1.8439679,-1.2880806,-11.324574,-0.04309563,4.540074,-8.562137,-1.4993144,-0.46303585,-0.081855945,0.18753563,-0.2378916,-0.7001568,0.44446024,1
-5.5216966,3.2063074,-0.1191659,-0.22266077,-6.143522,-0.12210429,4.924885,-8.456269,-0.63829964,-0.61391956,-0.657291,-0.4288274,-0.19124676,-0.7011504,0.45828396,1
-4.5681486,-0.8619642,-2.7207654,-1.1252748,-5.8226986,-1.9991584,4.8418016,-8.4871645,-0.8339099,1.3432927,-0.06536258,-0.44104472,-0.1356907,-0.68607134,0.49842957,1
-3.1514952,0.58629894,0.95362,0.23463176,-8.803479,-4.2066126,5.317172,-8.221463,-0.55284435,1.0225884,-0.6774496,-0.63285637,-0.07026453,-0.6812882,0.5151156,1
-6.519061,-1.8222132,-0.55567104,0.9983821,-8.042124,1.2066777,5.567223,-8.070363,0.21367022,0.9126327,-0.86254174,-0.5479461,-0.031739876,-0.6809048,0.5294254,1
